neg_cDC1_over_B_2x,neg_cDC1_vs_Mo_Macro_1.5x,neg_cDC1_vs_neutro_3x,neg_cDC1_vs_non_immune_2x,neg_cDC1_vs_pDC_3x,neg_cDC1_vs_T_NK_2x,neg_cDC1_vs_cDC2_global
Cd19,Fcgr3,S100a8,Nckap1,Ly6d,Gimap9,Adgre4
Cd79b,Adgre1,S100a9,Serpinb6a,Ly6c2,Ablim1,Adgre1
Cd79a,Clec4a3,Cxcr2,Gm4815,Tlr7,Txk,Rasgrp1
Pou2af1,Csf1r,Il1f9,Gas6,Cd4,Gimap6,Pla2g7
Ikzf3,Fcer1g,Mmp9,Wls,Lair1,Sh2d2a,Myo1e
Bank1,Sirpa,Ly6g,Parva,Klk1b3,Gimap4,Apobec1
Pax5,Dok3,Hp,Plpp3,Siglech,Stk26,Ptgs2
Igkv1-133,Tlr7,Stfa2l1,Nfia,Mctp2,Ets1,Ccl9
Blk,Csf3r,Clec4e,Mid2,Cmah,Zap70,Mcemp1
Ebf1,Ctsa,Lcn2,Ablim1,Pltp,Itk,Olfr111
Ralgps2,Gm27404,Gm49368,Susd2,Atp1b1,Lax1,Emb
Ighv8-8,Wls,Clec4d,Tjp1,Clec10a,Prkcq,Zeb2
Myo1e,Slc15a3,Slfn4,Fer,Ctsl,Gimap1,St8sia6
Fcmr,Tcn2,Csf3r,Cttn,Smim5,Skap1,Ifitm3
Igl-V2,Daglb,Retnlg,Ephb4,Bst2,Ikzf3,Sirpa
Ighv1-62-3,Slc16a7,Slfn1,Plxna2,Dntt,Gbp7,Ehf
Ighv1-21,,Lrg1,Gm20547,Lrp8,Xrcc5,Pgap1
Igkv10-95,,Il18rap,Ptprg,Ly6a,Ptprcap,S100a4
Ms4a1,,Hacd4,Tmem98,Sema4b,Tmem71,Ptchd1
Pik3c2b,,Mirt2,Nbea,Duxbl1,Galnt6,Slc7a11
Igkv12-46,,Hdc,Hsp25-ps1,Lifr,Acap1,Fcer1g
Igkv4-57,,Siglece,Arid5b,Prkca,Ripor2,Ank
Cxcr5,,Slc40a1,Tnks1bp1,Grm8,Rasgrp1,Ddx60
Cd22,,Tmem71,Ptprk,Gria3,Sept1,St8sia1
Atp2a3,,Padi4,S100a16,Cdh1,Cd27,Cybb
Igkv2-116,,Pilrb2,Maged1,Lynx1,Gimap8,Ctsa
Ets1,,Cd300lb,Osmr,P2ry13,Nlrc3,Ccl3
Ablim1,,Mmp8,Myo10,Klra17,,Clec4n
Ighv1-82,,Gda,Pld1,Cox6a2,,Ms4a6c
